name	timestamp	run_id	partition	program	status	time_end2end	nb_atoms	command
doctors	2023-03-12 19:50:54.252901	0	0010000	q01	success	167.622102	837	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q01.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q01/run-0 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 19:53:48.478758	1	0010000	q01	success	172.388609	837	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q01.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q01/run-1 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 19:56:47.467507	2	0010000	q01	success	165.393101	837	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q01.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q01/run-2 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 19:59:39.497038	0	0100000	q01	timeout	600.007683	None	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q01.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0100000/q01/run-0 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:09:53.225217	0	0010000	q02	success	529.873399	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q02.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q02/run-0 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:18:49.733734	1	0010000	q02	success	576.874252	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q02.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q02/run-1 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:28:33.201377	2	0010000	q02	success	516.446320	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q02.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q02/run-2 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:37:16.195985	0	0100000	q02	timeout	600.006177	None	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q02.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0100000/q02/run-0 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:47:29.909455	0	0010000	q03	success	528.491974	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q03.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q03/run-0 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 20:56:24.992760	1	0010000	q03	success	535.207591	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q03.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q03/run-1 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 21:05:26.812271	2	0010000	q03	success	531.636561	6998	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q03.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0010000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0010000/q03/run-2 --set terminationStrategyMode=naiveParsimoniousMode
doctors	2023-03-12 21:14:25.007980	0	0100000	q03	timeout	600.007020	None	/home/datalog-benchmarking/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog-parsimonious-naive/queries/q03.txt --bind medprescription:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/medprescription.data hospital:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/hospital.data physician:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/physician.data treatment:csv:/home/datalog-benchmarking/datalog-benchmarking/datasets/doctors/vadalog/data/0100000/treatment.data --working-dir results/chasebench/doctors/vadalog-parsimonious-naive/0100000/q03/run-0 --set terminationStrategyMode=naiveParsimoniousMode
