name	tool	timestamp	run_id	partition	program	status	time_end2end	nb_atoms	command
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:58:52.982466	0	data	q02	success	  0.671376	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q02.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q02/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:00.286423	0	data	q03	success	  0.570525	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q03.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q03/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:06.490351	0	data	q04	success	  0.672767	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q04.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q04/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:12.831954	0	data	q05	success	  0.672492	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q05.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q05/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:20.146370	0	data	q06	success	  0.621789	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q06.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q06/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:26.386040	0	data	q07	success	  0.721251	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q07.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q07/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:32.730876	0	data	q08	success	  0.670523	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q08.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q08/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:39.026591	0	data	q09	success	  0.772664	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q09.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q09/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:45.429303	0	data	q10	success	  0.621258	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q10.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q10/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:51.693369	0	data	q11	success	  0.773855	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q11.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q11/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 19:59:59.099981	0	data	q12	success	  0.621758	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q12.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q12/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:06.345075	0	data	q13	success	  0.570474	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q13.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q13/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:12.626437	0	data	q14	success	  0.772604	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q14.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q14/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:19.169957	0	data	q15	success	  0.724590	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q15.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q15/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:26.533163	0	data	q16	success	  0.620910	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q16.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q16/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:32.745858	0	data	q17	success	  0.770383	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q17.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q17/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:40.123882	0	data	q18	success	  0.720751	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q18.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q18/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:47.455506	0	data	q19	success	  0.621393	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q19.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q19/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
has-ancestor	vadalog-parsimonious-aggregate-resumption	2023-03-13 20:00:53.699049	0	data	q20	success	  0.721134	1	/home/marcofavorito/workfolder/datalog-benchmarking/bin/vadalog-wrapper --program /home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog-parsimonious-aggregate-resumption/queries/q20.txt --bind person:csv:/home/marcofavorito/workfolder/datalog-benchmarking/datasets/has-ancestor/vadalog/data/person.data --working-dir results-has-ancestor/has-ancestor/vadalog-parsimonious-aggregate-resumption/data/q20/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
