name	tool	timestamp	run_id	partition	program	status	time_end2end	nb_atoms	command
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:06:42.796793	0	01000	program	success	  1.928673	1042	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/01000/program/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:06:52.304745	1	01000	program	success	  1.827275	1042	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/01000/program/run-1 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:07:01.710930	2	01000	program	success	  2.033858	1042	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/01000/program/run-2 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:07:11.320268	0	10000	program	success	  4.638380	15620	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/10000/program/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:07:23.559576	1	10000	program	success	  4.504311	15620	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/10000/program/run-1 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:07:35.639715	2	10000	program	success	  4.696061	15620	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/10000/program/run-2 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:07:47.930677	0	25000	program	success	  6.792586	37861	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/25000/program/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:08:02.335880	1	25000	program	success	  6.889224	37861	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/25000/program/run-1 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:08:16.850465	2	25000	program	success	  7.010295	37861	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/25000/program/run-2 --set terminationStrategyMode=aggregateParsimoniousMode
dbpedia-stronglink2	vadalog-parsimonious-aggregate	2023-03-13 14:08:31.489400	0	50000	program	success	 10.013325	73462	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-parsimonious-aggregate/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-parsimonious-aggregate/50000/program/run-0 --set terminationStrategyMode=aggregateParsimoniousMode
