name	tool	timestamp	run_id	partition	program	status	time_end2end	nb_atoms	command
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:10:22.528263	0	01000	program	success	  4.287844	1013	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/01000/program/run-0 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:10:34.385954	1	01000	program	success	  4.238863	1013	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/01000/program/run-1 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:10:46.177328	2	01000	program	success	  4.239614	1013	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/01000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/01000/program/run-2 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:10:57.991334	0	10000	program	success	  3.631695	13585	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/10000/program/run-0 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:11:09.236423	1	10000	program	success	  3.538635	13585	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/10000/program/run-1 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:11:20.355951	2	10000	program	success	  3.582616	13585	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/10000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/10000/program/run-2 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:11:31.543537	0	25000	program	success	  5.542860	32273	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/25000/program/run-0 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:11:44.692094	1	25000	program	success	  5.583269	32273	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/25000/program/run-1 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:11:57.901244	2	25000	program	success	  5.585315	32273	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/25000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/25000/program/run-2 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:12:11.105484	0	50000	program	success	  8.448838	61223	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/50000/program/run-0 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:12:27.156061	1	50000	program	success	  9.157414	61223	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/50000/program/run-1 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:12:43.969602	2	50000	program	success	  8.154951	61223	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/50000/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/50000/program/run-2 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:12:59.716227	0	67500	program	success	  9.516412	79636	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/67500/program/run-0 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:13:16.886017	1	67500	program	success	  9.709004	79636	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/67500/program/run-1 --set terminationStrategyMode=lightMode
dbpedia-stronglink2	vadalog-resumption	2023-03-13 14:13:34.242206	2	67500	program	success	 10.050471	79636	/home/datalog-benchmarking-2/datalog-benchmarking/bin/vadalog-wrapper --program /home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog-resumption/queries/program.txt --bind company:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/company.data controls:csv:/home/datalog-benchmarking-2/datalog-benchmarking/datasets/dbpedia-stronglink2/vadalog/data/67500/controls.data --working-dir results/stronglink/dbpedia-stronglink2/vadalog-resumption/67500/program/run-2 --set terminationStrategyMode=lightMode
